symbol,name,country,ipo_year,volume,sector,industry
ASTI,Ascent Solar Technologies Inc. Common Stock,United States,,62110,Technology,Semiconductors
ASUR,Asure Software Inc Common Stock,United States,,14835,Technology,EDP Services
ASYS,Amtech Systems Inc. Common Stock,United States,,28961,Technology,Industrial Machinery/Components
ATAI,ATAI Life Sciences N.V. Common Shares,Germany,2008.0,732610,Health Care,Biotechnology: Pharmaceutical Preparations
ATEC,Alphatec Holdings Inc. Common Stock,United States,2006.0,852801,Health Care,Medical/Dental Instruments
ATLC,Atlanticus Holdings Corporation Common Stock,United States,1995.0,30956,Finance,Finance: Consumer Services
ATLO,Ames National Corporation Common Stock,United States,,2244,Finance,Major Banks
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,United States,,305187,Health Care,Biotechnology: Pharmaceutical Preparations
ATOS,Atossa Therapeutics Inc. Common Stock,United States,2012.0,527483,Health Care,Biotechnology: Pharmaceutical Preparations
ATRA,Atara Biotherapeutics Inc. Common Stock,United States,2014.0,21020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATRC,AtriCure Inc. Common Stock,United States,2005.0,171325,Health Care,Medical/Dental Instruments
ATRO,Astronics Corporation Common Stock,United States,,168454,Industrials,Military/Government/Technical
ATSG,Air Transport Services Group Inc,United States,,97581,Consumer Discretionary,Air Freight/Delivery Services
AUBN,Auburn National Bancorporation Inc. Common Stock,United States,,546,Finance,Major Banks
AUDC,AudioCodes Ltd. Common Stock,Israel,1999.0,64380,Utilities,Telecommunications Equipment
AUPH,Aurinia Pharmaceuticals Inc Ordinary Shares,Canada,,585099,Health Care,Biotechnology: Pharmaceutical Preparations
AVAV,AeroVironment Inc. Common Stock,United States,2007.0,141229,Industrials,Aerospace
AVNW,Aviat Networks Inc. Common Stock,United States,,48526,Technology,Radio And Television Broadcasting And Communications Equipment
AWRE,Aware Inc. Common Stock,United States,1996.0,14008,Technology,Computer Software: Prepackaged Software
AXDX,Accelerate Diagnostics Inc. Common Stock,United States,,18192,Industrials,Biotechnology: Laboratory Analytical Instruments
AXGN,Axogen Inc. Common Stock,United States,,144281,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AXTI,AXT Inc Common Stock,United States,1998.0,455299,Technology,Semiconductors
BANF,BancFirst Corporation Common Stock,United States,1993.0,16961,Finance,Major Banks
BANR,Banner Corporation Common Stock,United States,,55400,Finance,Major Banks
BANX,ArrowMark Financial Corp. Common Stock,United States,,6539,Finance,Trusts Except Educational Religious and Charitable
BBGI,Beasley Broadcast Group Inc. Class A Common Stock,United States,2000.0,2627,Consumer Discretionary,Broadcasting
BBSI,Barrett Business Services Inc. Common Stock,United States,1993.0,38582,Consumer Discretionary,Professional Services
BCBP,BCB Bancorp Inc. (NJ) Common Stock,United States,2005.0,8787,Finance,Savings Institutions
